date	likes	retweets	replies
Tue, 20 Oct 2020 18:21:30 GMT	12034	3628	963
Tue, 20 Oct 2020 18:59:00 GMT	20317	4041	2742
Tue, 20 Oct 2020 19:39:11 GMT	174813	21255	13582
Tue, 20 Oct 2020 19:40:00 GMT	75001	10473	2207
Tue, 20 Oct 2020 20:46:00 GMT	27484	5691	3827
Tue, 20 Oct 2020 22:05:00 GMT	439288	70110	22725
Tue, 20 Oct 2020 23:12:00 GMT	19876	3905	2795
Tue, 20 Oct 2020 23:50:00 GMT	61579	14214	8396
Wed, 21 Oct 2020 00:45:00 GMT	129568	17970	15988
Wed, 21 Oct 2020 03:20:00 GMT	115735	31020	8923
Wed, 21 Oct 2020 14:02:00 GMT	15150	3590	1828
Wed, 21 Oct 2020 14:20:00 GMT	18840	3627	2056
Wed, 21 Oct 2020 15:30:00 GMT	25021	6106	3801
Wed, 21 Oct 2020 17:02:00 GMT	23448	5587	2696
Wed, 21 Oct 2020 18:36:13 GMT	101387	20761	14239
Wed, 21 Oct 2020 19:30:24 GMT	31633	6073	2675
Wed, 21 Oct 2020 19:50:00 GMT	18934	3850	1881
Wed, 21 Oct 2020 20:05:00 GMT	8893	1743	1290
Wed, 21 Oct 2020 20:19:33 GMT	28164	5746	4144
Wed, 21 Oct 2020 21:05:00 GMT	124476	24117	4423
Wed, 21 Oct 2020 21:47:08 GMT	37657	6071	3920
Wed, 21 Oct 2020 23:15:00 GMT	211812	29509	13450
Wed, 21 Oct 2020 23:50:00 GMT	46704	7294	4549
Thu, 22 Oct 2020 00:30:00 GMT	15376	3876	2163
Thu, 22 Oct 2020 01:38:00 GMT	34404	14136	25340
Thu, 22 Oct 2020 01:54:01 GMT	201477	31765	14851
Thu, 22 Oct 2020 03:26:00 GMT	82664	13710	5972
Thu, 22 Oct 2020 12:02:00 GMT	79597	14436	6345
Thu, 22 Oct 2020 14:35:00 GMT	13663	2852	1842
Thu, 22 Oct 2020 15:10:00 GMT	68062	19983	9676
Thu, 22 Oct 2020 17:01:00 GMT	15624	2402	2440
Thu, 22 Oct 2020 17:25:00 GMT	61018	11607	4236
Thu, 22 Oct 2020 18:35:00 GMT	27592	4517	4376
Thu, 22 Oct 2020 18:48:00 GMT	97501	19271	2782
Thu, 22 Oct 2020 20:00:01 GMT	16221	4019	2872
Thu, 22 Oct 2020 21:36:00 GMT	247787	26216	14409
Thu, 22 Oct 2020 22:50:00 GMT	72891	10473	11580
Thu, 22 Oct 2020 23:30:00 GMT	99505	9788	12971
Fri, 23 Oct 2020 00:15:00 GMT	15359	2883	5994
Fri, 23 Oct 2020 00:28:00 GMT	86133	7823	7346
Fri, 23 Oct 2020 01:13:00 GMT	115730	20037	3466
Fri, 23 Oct 2020 01:20:00 GMT	173196	21917	3845
Fri, 23 Oct 2020 01:22:01 GMT	280754	32466	7541
Fri, 23 Oct 2020 01:28:00 GMT	153847	17653	4878
Fri, 23 Oct 2020 01:36:00 GMT	13037	1648	901
Fri, 23 Oct 2020 01:37:00 GMT	283224	44323	7355
Fri, 23 Oct 2020 01:42:00 GMT	33822	4768	1647
Fri, 23 Oct 2020 01:45:28 GMT	217348	25406	8247
Fri, 23 Oct 2020 01:47:00 GMT	75982	9369	3205
Fri, 23 Oct 2020 01:53:00 GMT	41023	6670	2683
Fri, 23 Oct 2020 01:54:00 GMT	19893	3901	1423
Fri, 23 Oct 2020 01:58:50 GMT	204370	23199	7825
Fri, 23 Oct 2020 02:00:00 GMT	67277	10021	5400
Fri, 23 Oct 2020 02:05:00 GMT	22902	3644	1854
Fri, 23 Oct 2020 02:07:00 GMT	75303	12685	8270
Fri, 23 Oct 2020 02:12:20 GMT	44590	6133	3184
Fri, 23 Oct 2020 02:19:00 GMT	117692	15614	4796
Fri, 23 Oct 2020 02:22:00 GMT	188274	19356	6197
Fri, 23 Oct 2020 02:29:00 GMT	46469	8728	4230
Fri, 23 Oct 2020 02:39:00 GMT	30891	4183	2473
Fri, 23 Oct 2020 02:41:00 GMT	62856	9430	6819
