date	likes	retweets	replies
Thu, 12 Nov 2020 02:48:18 GMT	59720	23514	3324
Thu, 12 Nov 2020 02:59:55 GMT	72290	27423	5695
Thu, 12 Nov 2020 03:41:10 GMT	141491	38309	12374
Thu, 12 Nov 2020 04:17:21 GMT	246728	64902	20379
Thu, 12 Nov 2020 04:26:33 GMT	114370	33792	4149
Thu, 12 Nov 2020 04:59:25 GMT	55890	25710	4093
Thu, 12 Nov 2020 06:24:21 GMT	43911	15131	2637
Thu, 12 Nov 2020 12:45:33 GMT	54682	9101	4111
Thu, 12 Nov 2020 13:13:52 GMT	169855	40982	18591
Thu, 12 Nov 2020 13:15:10 GMT	198449	36642	13446
Thu, 12 Nov 2020 13:20:18 GMT	204251	49288	21904
Thu, 12 Nov 2020 13:50:00 GMT	317028	79902	36543
Thu, 12 Nov 2020 14:26:29 GMT	234944	53952	26806
Thu, 12 Nov 2020 15:08:47 GMT	132953	37856	24888
Thu, 12 Nov 2020 15:12:09 GMT	230026	41237	15348
Thu, 12 Nov 2020 15:16:02 GMT	168890	38498	10484
Thu, 12 Nov 2020 15:17:35 GMT	200193	32487	10794
Thu, 12 Nov 2020 15:25:06 GMT	235345	57442	13969
Thu, 12 Nov 2020 15:31:27 GMT	66537	13139	7684
Thu, 12 Nov 2020 15:31:55 GMT	82755	39591	8687
Thu, 12 Nov 2020 15:33:38 GMT	46955	8532	3884
Thu, 12 Nov 2020 16:10:18 GMT	346035	85971	89893
Thu, 12 Nov 2020 16:34:00 GMT	617106	248262	173383
Thu, 12 Nov 2020 19:25:27 GMT	38612	11490	2345
Thu, 12 Nov 2020 20:44:45 GMT	43885	10264	8948
Thu, 12 Nov 2020 23:18:47 GMT	31755	8909	1120
Fri, 13 Nov 2020 00:21:31 GMT	76444	26763	18686
Fri, 13 Nov 2020 01:56:06 GMT	56780	18663	2618
Fri, 13 Nov 2020 03:46:13 GMT	317760	73576	53517
Fri, 13 Nov 2020 04:03:28 GMT	58648	22113	3704
Fri, 13 Nov 2020 04:14:11 GMT	177422	43226	19679
Fri, 13 Nov 2020 04:17:46 GMT	189116	57995	68501
Fri, 13 Nov 2020 06:13:35 GMT	36421	11133	2599
Fri, 13 Nov 2020 15:54:29 GMT	92338	24582	9636
Fri, 13 Nov 2020 15:55:30 GMT	116412	33551	12957
Fri, 13 Nov 2020 15:59:29 GMT	350385	85860	79305
Fri, 13 Nov 2020 18:35:54 GMT	404185	95585	69603
Fri, 13 Nov 2020 19:00:01 GMT	66504	17511	8519
Fri, 13 Nov 2020 19:32:05 GMT	53433	15264	8086
Fri, 13 Nov 2020 20:30:00 GMT	40743	12260	3107
Fri, 13 Nov 2020 20:38:12 GMT	314930	74594	45597
Fri, 13 Nov 2020 20:58:22 GMT	35358	9634	1391
